product_title,product_id,product_price,product_rating,product_colors,product_site
Sailor 1911 King of Pens Ebonite Fountain Pen - Black/Gold - The Goulet Pen Company,SL-11-7002-420,950.00,5.0,"Black/Gold Ebonite,Black/Silver Ebonite,Black/Gold,,Tamenuri Murasaki",gouletpens.com
Sailor 1911 King of Pens Maki-e Fountain Pen - Sakura Nagare - The Goulet Pen Company,SL-10-9942-420,"1,450.00",5.0,,gouletpens.com
Pelikan M1000 Fountain Pen - Black - The Goulet Pen Company,P987370,856.00,,"Black,Black/Green",gouletpens.com
Visconti Opera Gold Fountain Pen - Red - The Goulet Pen Company,VI-KP42-01-FP-M,348.00,,"Black,Blue,Red",gouletpens.com
Sailor Pro Gear Slim Solar Term Series Fountain Pen - Yuzuyu - The Goulet Pen Company,SL-11-8874-240,236.00,5.0,"First Snow,Autumn Drizzle,Black/Silver,Blue Quasar,Celestial Gray,Dragon Palace,Follow the Mermaid,Fuki,Grateful Crane,Hagi,Iris Nebula,Kamoshika,Kiku,Komakusa,LINE FRIENDS - CONY,Lucky Charm,Momo,Moonlight Over the Ocean,Nadeshiko,Northern Lights Blue,Princess Kaguya,Princess Koto,Princess Ochikubo,Princess Shirotae,Princess Uguisu,Spring Rain,Spring Sky,Summer Rain,Tako,Vega,Winter Rain,Winter Sky,Yuu-tsubame,Yuzuyu,Dianthus,Grass,Moss,Plum,Rabbit Ear Iris,Violet,Wisteria",gouletpens.com
Kaweco Supra Fountain Pen - Aluminum Black - The Goulet Pen Company,KAW-11000106,140.00,4.3,"Aluminum Black ,Brass,Fireblue,Stainless Steel",gouletpens.com
Pineider Arco Fountain Pen - Stilo Rainbow (Limited Edition) - The Goulet Pen Company,PD-PP5201-999EF,698.00,4.9,Rainbow,gouletpens.com
Sailor Pro Gear Slim Fountain Pen - Black/Silver - The Goulet Pen Company,SL-11-1222-620,220.00,5.0,"First Snow,Autumn Drizzle,Black/Silver,Blue Quasar,Celestial Gray,Dragon Palace,Follow the Mermaid,Fuki,Grateful Crane,Hagi,Iris Nebula,Kamoshika,Kiku,Komakusa,LINE FRIENDS - CONY,Lucky Charm,Momo,Moonlight Over the Ocean,Nadeshiko,Northern Lights Blue,Princess Kaguya,Princess Koto,Princess Ochikubo,Princess Shirotae,Princess Uguisu,Spring Rain,Spring Sky,Summer Rain,Tako,Vega,Winter Rain,Winter Sky,Yuu-tsubame,Yuzuyu,Dianthus,Grass,Moss,Plum,Rabbit Ear Iris,Violet,Wisteria",gouletpens.com
Maiora Ogiva Fountain Pen - Orange/Brown - The Goulet Pen Company,MA-NE78130-F,316.00,4.9,"Blue,Brown,Orange",gouletpens.com
Sailor Pro Gear Slim Manyo Fountain Pen Set - Moss (Limited Edition) - The Goulet Pen Company,SL-10-2562-321,236.00,5.0,"First Snow,Autumn Drizzle,Black/Silver,Blue Quasar,Celestial Gray,Dragon Palace,Follow the Mermaid,Fuki,Grateful Crane,Hagi,Iris Nebula,Kamoshika,Kiku,Komakusa,LINE FRIENDS - CONY,Lucky Charm,Momo,Moonlight Over the Ocean,Nadeshiko,Northern Lights Blue,Princess Kaguya,Princess Koto,Princess Ochikubo,Princess Shirotae,Princess Uguisu,Spring Rain,Spring Sky,Summer Rain,Tako,Vega,Winter Rain,Winter Sky,Yuu-tsubame,Yuzuyu,Dianthus,Grass,Moss,Plum,Rabbit Ear Iris,Violet,Wisteria",gouletpens.com
